case,problem,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,label,cache_hit_rate,parallelism,n_elig
case_086,1,4,118403,71745,1.6503,2285514,v36_cross_p1_from_p2,0,15.89,5274
case_086,1,5,118403,71824,1.6485,2285514,v36_cross_p1_from_p3,0,15.89,5274
case_086,2,2,118403,72276,1.6382,847912,v34_bandref_w8,0,15.89,5274
case_086,2,3,118403,62789,1.8857,1230284,v33_bandref_w14,0,15.89,5274
case_086,2,4,118403,59285,1.9972,1473198,v33_bandref_w14,0,15.89,5274
case_086,2,5,118403,58825,2.0128,1675254,v39_bseed_seed1-window14,0,15.89,5274
case_086,3,2,118403,72271,1.6383,847912,v34_bandref_w8,0.193753742397025,15.89,5274
case_086,3,3,118403,62517,1.8939,1230284,v33_bandref_w14,0.26688278665262266,15.89,5274
case_086,3,4,118403,58173,2.0354,1473198,v33_bandref_w14,0.3113463404751713,15.89,5274
case_086,3,5,118403,57945,2.0434,1683926,v39_bseed_seed3-window14,0.28328802925776075,15.89,5274
case_087,1,2,3974071,2066233,1.9233,31218782,v35_bandref_w24,0,45.65,27556
case_087,1,3,3974071,1439622,2.7605,35533514,v35_bandref_w16,0,45.65,27556
case_087,1,4,3974071,1148777,3.4594,35533514,v35_bandref_w16,0,45.65,27556
case_087,1,5,3974071,978112,4.063,35533514,v35_bandref_w16,0,45.65,27556
case_087,2,2,3974071,2013218,1.974,13311328,v35_bandref_w16,0,45.65,27556
case_087,2,3,3974071,1387417,2.8644,16963418,v35_bandref_w16,0,45.65,27556
case_087,2,4,3974071,1108681,3.5845,19040968,v35_bandref_w16,0,45.65,27556
case_087,2,5,3974071,938108,4.2363,19351632,v34_bandref_w12,0,45.65,27556
case_087,3,2,3974071,2009631,1.9775,13311328,v35_bandref_w16,0.2571634646763084,45.65,27556
case_087,3,3,3974071,1384318,2.8708,16963418,v35_bandref_w16,0.40691816192920954,45.65,27556
case_087,3,4,3974071,1102082,3.606,19040968,v35_bandref_w16,0.4175324086205296,45.65,27556
case_087,3,5,3974071,927612,4.2842,21515760,v35_bandref_w16,0.45142916027854696,45.65,27556
